City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Kralendijk,BQ,80.58,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
5,Rikitea,PF,77.49,-23.1203,-134.9692,People ThankYou
10,Kavaratti,IN,80.01,10.5669,72.642,Hotels in Lakshadweep Islands
17,Airai,TL,75.96,-8.9266,125.4092,
23,Atambua,ID,85.44,-9.1061,124.8925,Kost Alfa Flat
29,Muli,MV,83.64,2.9167,73.5667,Medhufushi Island Resort
33,Ramapuram,IN,85.57,13.1167,79.2,Sri Annam Farms
36,Noumea,NC,82.38,-22.2763,166.4572,Hôtel Le Lagon
38,San Cristobal,VE,75.38,7.7669,-72.225,Pirineos
40,San Policarpo,PH,84.9,12.1791,125.5072,Agapita M. Nicart
44,Faanui,PF,81.34,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
46,Butaritari,KI,81.73,3.0707,172.7902,Isles Sunset Lodge
47,Sayhat,SA,77.22,26.4852,50.0405,OYO 426 Royal Al Khaleej Furnished Apartments
53,Kapaa,US,78.78,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Vaini,TO,75.36,-21.2,-175.2,Keleti Beach Resort
66,Kavieng,PG,83.08,-2.5744,150.7967,Nusa Island Retreat
74,San Antonio,US,83.95,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
75,Atuona,PF,78.73,-9.8,-139.0333,Villa Enata
77,Touros,BR,76.6,-5.1989,-35.4608,INN NEW HORIZON
78,Sao Jose Da Coroa Grande,BR,77.38,-8.8978,-35.1478,Crôa Mares Hotel
80,Maracanau,BR,77.76,-3.8767,-38.6256,Paiva de Sousa Motel
84,Vanimo,PG,88.45,-2.6741,141.3028,Vahmoneh Lodge Vanimo
88,Dingle,PH,88.83,10.9995,122.6711,SEGAYA PROPERTY
96,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
98,Arlit,NE,78.46,18.7369,7.3853,Case de Passage De la Prefecture
104,Manggar,ID,88.47,-2.8833,108.2667,Guest Hotel
105,Puerto Carreno,CO,80.83,6.189,-67.4859,Casa Hotel Victoria
113,Salalah,OM,84.29,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
118,Mahebourg,MU,77.29,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Kahului,US,80.62,20.8947,-156.47,Maui Seaside Hotel
122,Bani,DO,75.29,18.2833,-70.3333,Hospedaje Henriquez
124,Pokhara,NP,83.44,28.2333,83.9833,OYO 170 Hotel View Point
126,Sorong,ID,82.85,-0.8833,131.25,Waigo Splash Hotel
127,Korla,CN,77.95,41.7597,86.1469,Gulisitan Hotel
130,Riohacha,CO,80.69,11.5444,-72.9072,Hotel Taroa
152,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
154,Hilo,US,78.28,19.7297,-155.09,Hilo Hawaiian Hotel
155,Souillac,MU,77.38,-20.5167,57.5167,Shanti Maurice Resort & Spa
157,Acajutla,SV,82.33,13.5928,-89.8275,Laureles
162,Hithadhoo,MV,83.01,-0.6,73.0833,Scoop Guest House
163,Weinan,CN,80.1,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
165,Cairns,AU,88.07,-16.9167,145.7667,Mantra Trilogy Cairns
166,Khandbari,NP,80.24,27.3747,87.2039,Sainik Hotel And Lodge
168,Iracoubo,GF,77.85,5.4802,-53.2011,Le Gîte d’Iracoubo
174,Porto Novo,BJ,79.09,6.4965,2.6036,Tour Eiffel Hotel Benin
178,Namatanai,PG,84.96,-3.6667,152.4333,Seagulls Inn Namatani
179,Tessalit,ML,83.73,20.1986,1.0114,
186,Taoudenni,ML,87.08,22.6783,-3.9836,
187,Lorengau,PG,84.97,-2.0226,147.2712,Lorengau Harbourside Hotel
195,Poum,NC,78.64,-20.2333,164.0167,
197,Haapiti,PF,78.53,-17.5667,-149.8667,Linareva Moorea Beach Resort
199,Nileshwar,IN,81.18,12.25,75.1,Neeleshwar Hermitage
202,Hobyo,SO,80.91,5.3505,48.5268,Iftin hotel hobyo
204,Georgetown,MY,85.95,5.4112,100.3354,Cititel Penang
214,Bandarbeyla,SO,85.51,9.4942,50.8122,JABIR HOTEL
216,Isangel,VU,78.44,-19.55,169.2667,Tanna Lodge
222,Ugoofaaru,MV,82.56,5.6667,73.0,Ungoofaaru Inn
225,Baherden,TM,79.34,38.4362,57.4316,
227,Safaga,EG,78.8,26.7292,33.9365,Lamar Resort Abu Soma
228,Kloulklubed,PW,82.9,7.0419,134.2556,Storyboard Beach Resort
231,Cayenne,GF,82.09,4.9333,-52.3333,Hôtel Le Dronmi
238,Banjar,ID,89.56,-8.19,114.9675,The Hamsa Resort
241,Bengkulu,ID,79.81,-3.8004,102.2655,Grage Hotel Bengkulu
243,San Patricio,US,80.49,28.017,-97.5169,"Motel 6 Sinton, TX"
246,Mulege,MX,78.87,26.8833,-111.9833,Casa Granada
247,Moerai,PF,79.39,-22.4333,-151.3333,Le Manotel
248,Cabo San Lucas,MX,87.1,22.8909,-109.9124,Hotel Tesoro Los Cabos
251,Champerico,GT,84.92,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
254,Fomboni,KM,81.34,-12.28,43.7425,Auberge les abou
256,Mingshui,CN,82.36,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
257,Kiama,AU,76.24,-34.6833,150.8667,The Sebel Kiama Harbourside
261,Adrar,MR,82.56,20.5022,-10.0711,
262,Wahiawa,US,75.52,21.5028,-158.0236,The Inn At Schofield
275,Byron Bay,AU,80.71,-28.65,153.6167,Backpackers Inn
276,Itarema,BR,75.45,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
278,Wattegama,LK,87.28,6.7989,81.4808,
281,Guasdualito,VE,75.78,7.2424,-70.7324,Hotel Cuibas
287,Parrita,CR,79.36,9.5201,-84.3225,Beso del Viento
291,Veraval,IN,87.01,20.9,70.3667,Lords Inn Somnath
294,Aquiraz,BR,78.19,-3.9014,-38.3911,Pousada Rua Camurupim
300,Chandvad,IN,88.59,20.3333,74.25,Hotel nisarg & lodging
302,Umm Kaddadah,SD,81.21,13.6017,26.6876,
310,Cockburn Town,TC,78.85,21.4612,-71.1419,Osprey Beach Hotel
312,Tual,ID,83.08,-5.6667,132.75,Grand Vilia Hotel
323,Saint George,US,82.99,37.1041,-113.5841,Best Western Plus Abbey Inn
327,Kirakira,SB,84.27,-10.4544,161.9205,SanBiz Lodge
341,Tirumullaivasal,IN,86.86,11.2333,79.8333,
342,Ambon,ID,87.94,-3.6954,128.1814,Swiss-Belhotel Ambon
343,Port-Gentil,GA,80.2,-0.7193,8.7815,Fengshui Residence
349,Sungaipenuh,ID,79.95,-2.0833,101.3833,Penginapan Citra Alam
350,Muncar,ID,86.23,-8.4333,114.3333,Zaky Homestay
352,Banepa,NP,75.52,27.6298,85.5214,Dhulikhel Lodge Resort
362,Kishtwar,IN,78.94,33.3167,75.7667,Heritage Bagh by Himalayan Musk
375,Sola,VU,80.56,-13.8833,167.55,Leumerus Bungalows
380,Alofi,NU,76.89,-19.0595,-169.9187,Taloa Heights
387,Sangin,AF,80.71,32.0728,64.8359,
388,Yendi,GH,78.64,9.4427,-0.0099,Eyarro Lodge
390,Miri,MY,88.43,4.4148,114.0089,"Mega Hotel, Miri"
391,Quatre Cocos,MU,77.11,-20.2078,57.7625,Sunrise Attitude Hotel
393,Buala,SB,83.77,-8.145,159.5921,Maringe Lagoon Lodge
396,Agustin Codazzi,CO,75.65,10.0341,-73.2361,Hotel perija
397,Mazagao,BR,77.05,-0.115,-51.2894,Recanto dos Ferreiras
398,Kodinsk,RU,75.36,58.6881,99.1844,
406,North Valley,US,79.99,35.1734,-106.6234,Balloon View Homes & RV Park
407,Umm Lajj,SA,82.0,25.0213,37.2685,Moon light Furnished Units
408,Bambous Virieux,MU,77.25,-20.3428,57.7575,Casa Tia Villa
409,Xixiang,CN,84.78,35.1628,112.865,Hongchang Rest House
411,Ojinaga,MX,89.42,29.5667,-104.4167,Suites Las Palmas
413,Ziniare,BF,87.96,12.5822,-1.2983,Privilège Hôtel de Ziniaré
414,Ballina,AU,80.78,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
416,Mlonggo,ID,86.22,-6.5333,110.7,Asia Metal Art
417,Robertsport,LR,81.25,6.7533,-11.3686,Kwepunha Retreat
418,Meulaboh,ID,83.61,4.1363,96.1285,Kost Pria
421,Gigmoto,PH,86.63,13.7796,124.39,Cj's Travellers Inn
422,Sembakung,ID,87.98,3.8167,117.25,
428,San Francisco Del Mar,MX,85.82,16.2333,-94.65,
431,Dori,BF,89.46,14.0354,-0.0345,Hôtel Liptako
432,Chengalpattu,IN,85.71,12.7,79.9833,Hotel Kanchi Boarding & Lodging
433,Youkounkoun,GN,77.47,12.5333,-13.1333,
435,Buchanan,LR,78.84,5.8808,-10.0467,Kamaneahn Hotel Inc
436,Puerto Escondido,MX,83.23,15.85,-97.0667,Aldea del Bazar Hotel and Spa
437,Manga,BF,87.03,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
440,Ransang,PH,85.51,8.9603,117.5828,Black and Crystal Sand Campsite
444,Waingapu,ID,85.96,-9.6567,120.2641,Pondok Wisata Elim
451,Jatiroto,ID,85.93,-7.8833,111.1167,Mushola Al Huda
453,Funadhoo,MV,80.69,6.15,73.2667,Dhaffalhu Tourist Lodge
455,Padang,ID,77.05,-0.9492,100.3543,Mercure Padang
458,Lamu,KE,75.42,-2.2717,40.902,Lamu House
463,Tura,IN,78.71,25.5198,90.2201,Hotel RIKMAN Continental
466,Kalmunai,LK,86.58,7.4167,81.8167,VS Villa
468,Soe,ID,84.7,-9.8607,124.284,Dena Hotel
475,Bogo,PH,86.25,11.0517,124.0055,Acrige Apartelle
480,Dwarka,IN,85.39,22.2394,68.9678,Hotel Narayan Avezika Comfort
482,Balabac,PH,86.81,7.9868,117.0645,Batalla’s Lodging House
484,Koumac,NC,80.65,-20.5667,164.2833,Le Monitel
486,Vila Velha,BR,75.15,-20.3297,-40.2925,Hotel Vitória Palace
487,Qui Nhon,VN,88.34,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
490,Amahai,ID,85.78,-3.3333,128.9167,HOTEL ISABELA
492,Waspan,NI,75.02,14.7419,-83.9717,Hostal casa de la rose
495,Meadow Lake,US,76.32,34.8014,-106.5436,TumbleWeed RV Park
499,Pingdingshan,CN,83.8,33.7385,113.3012,Chengfu Hotel
501,Port Blair,IN,82.44,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
503,Acapulco,MX,84.02,16.8634,-99.8901,HS Hotsson Smart Acapulco
510,Soyo,AO,76.73,-6.1349,12.3689,Hotel Mpampa
514,Hindupur,IN,82.24,13.8289,77.4933,Om Shiridi Sai Deluxe Bedding Centre
518,Araceli,PH,82.58,10.5529,119.9913,JBryan Traveler's Inn
522,Jibuti,DJ,83.93,11.5,42.5,Orchid Main Camp Goubet
524,Celestun,MX,76.33,20.8667,-90.4,Posada Lilia
526,Puerto El Triunfo,SV,81.01,13.2833,-88.55,Hotel Jardin
528,Marsh Harbour,BS,77.95,26.5412,-77.0636,Abaco Beach Resort
529,Naica,MX,84.38,27.85,-105.4833,Departamentos Nicole
535,Hervey Bay,AU,77.77,-25.2986,152.8535,Shelly Bay Resort
536,Samarai,PG,82.65,-10.6167,150.6667,Nuli Sapi
538,Ginda,IN,84.16,30.6945,78.4932,Sunil Bisht
540,Tanout,NE,75.78,14.9709,8.8879,
544,Sindou,BF,80.49,10.6667,-5.1667,LERABA HOTEL
547,Pitiquito,MX,84.16,30.7,-112.0833,La Víspera
551,Yarada,IN,89.92,17.65,83.2667,Yarada Jungle Beach Resorts
552,Bosaso,SO,88.65,11.2842,49.1816,Red Sea Hotel
555,Dawei,MM,76.95,14.0833,98.2,Hotel Dawei
556,Makakilo City,US,77.32,21.3469,-158.0858,Marriott's Ko Olina Beach Club
